"filename", "language", "Python", "JSON", "CSV", "HTML", "JavaScript", "CSS", "Draw.io", "Ini", "XML", "comment", "blank", "total"
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\csv_creator.py", "Python", 242, 0, 0, 0, 0, 0, 0, 0, 0, 39, 51, 332
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\filter_list_creator.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 44, 23, 123
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\format_evaluations.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 36, 32, 190
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\format_grades.py", "Python", 134, 0, 0, 0, 0, 0, 0, 0, 0, 36, 36, 206
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\format_info.py", "Python", 285, 0, 0, 0, 0, 0, 0, 0, 0, 568, 56, 909
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\format_study_lines.py", "Python", 146, 0, 0, 0, 0, 0, 0, 0, 0, 47, 41, 234
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\mypy.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\course.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\data_source.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\dtu.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\dtu_grades.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 38
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\dtu_html.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 26
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\grade.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 0, 29, 13, 83
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\grade_sheet.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 61
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\html_locator.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 63
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\html_manager.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 95
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\html_parser.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 83
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\html_persistence.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 37
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\html_slicer.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 75
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\main.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 38
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\school.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\term.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 94
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\unused_files\html_scraper.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 77
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox\web_scraping_tool_legacy.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 16, 13, 93
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\academic_year.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\course2.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\department.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\evals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\grade2.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\info.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
