(2022-10-13 02:26:34,044) ERROR: scraped_info, 01003: Error when splitting page_source
(2022-10-13 02:26:35,413) ERROR: scraped_info, 01005: Error when splitting page_source
(2022-10-13 02:26:36,375) ERROR: scraped_info, 01005: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,378) ERROR: scraped_info, 01006: Timeout when loading URL
(2022-10-13 02:26:36,379) ERROR: scraped_info, 01006: Error when splitting page_source
(2022-10-13 02:26:36,381) ERROR: scraped_info, 01006: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,385) ERROR: scraped_info, 01015: Timeout when loading URL
(2022-10-13 02:26:36,386) ERROR: scraped_info, 01015: Error when splitting page_source
(2022-10-13 02:26:36,388) ERROR: scraped_info, 01015: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,392) ERROR: scraped_info, 01016: Timeout when loading URL
(2022-10-13 02:26:36,393) ERROR: scraped_info, 01016: Error when splitting page_source
(2022-10-13 02:26:36,395) ERROR: scraped_info, 01016: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,399) ERROR: scraped_info, 01017: Timeout when loading URL
(2022-10-13 02:26:36,399) ERROR: scraped_info, 01017: Error when splitting page_source
(2022-10-13 02:26:36,402) ERROR: scraped_info, 01017: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,405) ERROR: scraped_info, 01018: Timeout when loading URL
(2022-10-13 02:26:36,405) ERROR: scraped_info, 01018: Error when splitting page_source
(2022-10-13 02:26:36,407) ERROR: scraped_info, 01018: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,410) ERROR: scraped_info, 01019: Timeout when loading URL
(2022-10-13 02:26:36,411) ERROR: scraped_info, 01019: Error when splitting page_source
(2022-10-13 02:26:36,413) ERROR: scraped_info, 01019: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,416) ERROR: scraped_info, 01020: Timeout when loading URL
(2022-10-13 02:26:36,416) ERROR: scraped_info, 01020: Error when splitting page_source
(2022-10-13 02:26:36,418) ERROR: scraped_info, 01020: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,420) ERROR: scraped_info, 01025: Timeout when loading URL
(2022-10-13 02:26:36,421) ERROR: scraped_info, 01025: Error when splitting page_source
(2022-10-13 02:26:36,423) ERROR: scraped_info, 01025: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,426) ERROR: scraped_info, 01034: Timeout when loading URL
(2022-10-13 02:26:36,427) ERROR: scraped_info, 01034: Error when splitting page_source
(2022-10-13 02:26:36,429) ERROR: scraped_info, 01034: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,432) ERROR: scraped_info, 01035: Timeout when loading URL
(2022-10-13 02:26:36,433) ERROR: scraped_info, 01035: Error when splitting page_source
(2022-10-13 02:26:36,435) ERROR: scraped_info, 01035: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,438) ERROR: scraped_info, 01037: Timeout when loading URL
(2022-10-13 02:26:36,438) ERROR: scraped_info, 01037: Error when splitting page_source
(2022-10-13 02:26:36,440) ERROR: scraped_info, 01037: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,443) ERROR: scraped_info, 01125: Timeout when loading URL
(2022-10-13 02:26:36,444) ERROR: scraped_info, 01125: Error when splitting page_source
(2022-10-13 02:26:36,446) ERROR: scraped_info, 01125: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,449) ERROR: scraped_info, 01227: Timeout when loading URL
(2022-10-13 02:26:36,449) ERROR: scraped_info, 01227: Error when splitting page_source
(2022-10-13 02:26:36,451) ERROR: scraped_info, 01227: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,453) ERROR: scraped_info, 01237: Timeout when loading URL
(2022-10-13 02:26:36,454) ERROR: scraped_info, 01237: Error when splitting page_source
(2022-10-13 02:26:36,455) ERROR: scraped_info, 01237: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,458) ERROR: scraped_info, 01238: Timeout when loading URL
(2022-10-13 02:26:36,459) ERROR: scraped_info, 01238: Error when splitting page_source
(2022-10-13 02:26:36,460) ERROR: scraped_info, 01238: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,462) ERROR: scraped_info, 01257: Timeout when loading URL
(2022-10-13 02:26:36,463) ERROR: scraped_info, 01257: Error when splitting page_source
(2022-10-13 02:26:36,465) ERROR: scraped_info, 01257: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,467) ERROR: scraped_info, 01325: Timeout when loading URL
(2022-10-13 02:26:36,467) ERROR: scraped_info, 01325: Error when splitting page_source
(2022-10-13 02:26:36,469) ERROR: scraped_info, 01325: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,471) ERROR: scraped_info, 01405: Timeout when loading URL
(2022-10-13 02:26:36,472) ERROR: scraped_info, 01405: Error when splitting page_source
(2022-10-13 02:26:36,473) ERROR: scraped_info, 01405: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,475) ERROR: scraped_info, 01410: Timeout when loading URL
(2022-10-13 02:26:36,476) ERROR: scraped_info, 01410: Error when splitting page_source
(2022-10-13 02:26:36,477) ERROR: scraped_info, 01410: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,479) ERROR: scraped_info, 01415: Timeout when loading URL
(2022-10-13 02:26:36,480) ERROR: scraped_info, 01415: Error when splitting page_source
(2022-10-13 02:26:36,481) ERROR: scraped_info, 01415: Timeout when loading URL for course responsibles
