COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD
01003,"[0, 0, 0, 0, 0]",,,,,,,,,"[0, 0, 0, 0, 0]",,,,,,,,,"[0, 0, 0, 0, 0]",,,,,,,,,"[0, 0, 0, 0, 0]",,,,,,,,
01005,,"[7, 4, 20, 69, 197]",,"[5, 6, 33, 106, 221]",,"[3, 10, 27, 142, 270]",,"[6, 8, 38, 115, 275]",,,"[7, 12, 56, 123, 98]",,"[8, 31, 79, 154, 99]",,"[21, 31, 108, 184, 102]",,"[21, 42, 94, 164, 116]",,,"[10, 17, 60, 116, 92]",,"[10, 24, 62, 148, 126]",,"[15, 34, 61, 160, 175]",,"[10, 28, 59, 165, 173]",,,"[7, 17, 119, 106, 46]",,"[3, 32, 126, 144, 65]",,"[3, 41, 125, 176, 99]",,"[6, 35, 132, 156, 106]",
01006,,"[0, 0, 2, 10, 35]",,"[1, 1, 2, 15, 18]",,"[0, 0, 3, 15, 21]",,"[0, 3, 3, 17, 38]",,,"[2, 2, 7, 17, 19]",,"[3, 2, 6, 14, 11]",,"[0, 4, 10, 15, 10]",,"[2, 2, 15, 26, 14]",,,"[0, 1, 12, 18, 15]",,"[1, 3, 5, 11, 17]",,"[1, 3, 3, 19, 12]",,"[2, 5, 12, 28, 13]",,,"[1, 4, 22, 14, 6]",,"[0, 3, 14, 11, 9]",,"[1, 2, 13, 17, 6]",,"[0, 3, 15, 21, 21]",
01015,,"[0, 2, 3, 8, 17]",,"[0, 2, 1, 10, 22]",,"[0, 2, 0, 20, 17]",,"[0, 1, 2, 15, 14]",,,"[0, 2, 6, 12, 10]",,"[0, 1, 9, 16, 9]",,"[2, 5, 11, 18, 3]",,"[4, 4, 6, 15, 3]",,,"[1, 3, 5, 11, 10]",,"[0, 2, 8, 15, 9]",,"[3, 5, 11, 10, 10]",,"[1, 1, 8, 13, 9]",,,"[0, 1, 18, 9, 2]",,"[0, 5, 8, 17, 5]",,"[0, 1, 14, 16, 8]",,"[0, 2, 12, 15, 3]",
01016,,"[0, 0, 1, 1, 1]",,,,,,,,,"[0, 0, 1, 2, 0]",,,,,,,,,"[0, 0, 1, 2, 0]",,,,,,,,,"[0, 0, 2, 1, 0]",,,,,,,
01017,,"[2, 5, 20, 57, 61]",,"[0, 3, 17, 73, 87]",,"[3, 5, 37, 104, 121]",,"[2, 5, 24, 96, 77]",,,"[0, 12, 25, 67, 41]",,"[1, 5, 29, 82, 61]",,"[4, 16, 74, 101, 75]",,"[5, 24, 41, 90, 38]",,,"[3, 15, 46, 56, 25]",,"[3, 6, 29, 89, 53]",,"[3, 11, 43, 106, 105]",,"[1, 7, 31, 97, 62]",,,"[8, 41, 82, 11, 2]",,"[10, 58, 93, 15, 3]",,"[12, 46, 152, 50, 10]",,"[5, 37, 96, 50, 9]",
01018,,"[0, 1, 2, 11, 11]",,"[0, 1, 2, 11, 20]",,"[0, 0, 0, 11, 25]",,"[0, 1, 4, 9, 18]",,,"[0, 1, 4, 11, 9]",,"[0, 2, 5, 8, 19]",,"[0, 1, 4, 10, 21]",,"[1, 2, 2, 9, 18]",,,"[0, 2, 7, 7, 9]",,"[0, 0, 1, 8, 25]",,"[0, 0, 2, 11, 23]",,"[0, 0, 1, 10, 21]",,,"[0, 6, 15, 4, 0]",,"[0, 4, 20, 8, 2]",,"[0, 3, 28, 5, 0]",,"[1, 8, 15, 6, 2]",
01019,,"[0, 2, 8, 10, 11]",,"[0, 3, 10, 10, 8]",,"[0, 0, 2, 5, 8]",,"[0, 0, 3, 10, 13]",,,"[1, 2, 3, 14, 11]",,"[1, 4, 11, 9, 6]",,"[0, 1, 2, 5, 7]",,"[0, 2, 3, 9, 12]",,,"[1, 6, 10, 11, 3]",,"[1, 4, 9, 8, 9]",,"[1, 0, 1, 5, 8]",,"[0, 0, 3, 9, 14]",,,"[3, 11, 16, 1, 0]",,"[1, 8, 19, 3, 0]",,"[1, 0, 11, 3, 0]",,"[1, 5, 12, 6, 2]",
01020,,,,,,,"[0, 2, 6, 15, 11]",,"[2, 2, 3, 11, 23]",,,,,,,"[2, 4, 9, 11, 8]",,"[3, 3, 12, 12, 11]",,,,,,,"[0, 4, 6, 10, 14]",,"[0, 3, 6, 18, 14]",,,,,,,"[0, 2, 13, 14, 5]",,"[1, 2, 17, 16, 5]"
01025,,"[1, 0, 0, 5, 28]",,"[0, 0, 0, 8, 27]",,"[0, 0, 0, 8, 27]",,"[0, 1, 0, 7, 24]",,,"[1, 0, 1, 10, 22]",,"[0, 0, 6, 13, 16]",,"[0, 0, 4, 14, 17]",,"[0, 0, 0, 13, 18]",,,"[1, 0, 0, 9, 23]",,"[0, 0, 1, 7, 27]",,"[0, 0, 0, 3, 32]",,"[0, 0, 1, 3, 27]",,,"[0, 2, 15, 14, 3]",,"[0, 3, 13, 17, 2]",,"[0, 0, 15, 17, 3]",,"[0, 0, 16, 14, 1]",
